Test problem 2 is within    5.0975444e+01 % of the expected solution
This test is considered NOT PASSED
Wall clock 4.747629
First step overhead 0.467359
Profiler Output                 Time            Percentage
Timestep              :          0.2791           5.8789
ideal_gas             :          0.4298           9.0531
viscosity             :          0.2303           4.8498
PdV                   :          0.4145           8.7300
revert                :          0.1310           2.7594
acceleration          :          0.2375           5.0030
flux                  :          0.2457           5.1756
cell_advection        :          0.0023           0.0480
mom_advection         :          0.7016          14.7781
reset                 :          0.1847           3.8896
summary               :          0.0068           0.1426
visit                 :          0.0000           0.0000
tile_halo_exchange    :          0.6052          12.7475
self_halo_exchange    :          0.4876          10.2713
mpi_halo_exchange     :          0.0003           0.0062
kernel_total          :          3.9563          83.3329
the rest              :          0.7913          16.6671
