Test problem 2 is within    5.0975444e+01 % of the expected solution
This test is considered NOT PASSED
Wall clock 11.199484
First step overhead 0.029354
Profiler Output                 Time            Percentage
Timestep              :          0.6234           5.5667
ideal_gas             :          0.4360           3.8928
viscosity             :          0.5744           5.1289
PdV                   :          0.3841           3.4292
revert                :          0.1181           1.0543
acceleration          :          0.2695           2.4064
flux                  :          0.3190           2.8488
cell_advection        :          0.0032           0.0283
mom_advection         :          2.7873          24.8880
reset                 :          0.5211           4.6526
summary               :          0.0173           0.1549
visit                 :          0.0000           0.0000
tile_halo_exchange    :          3.0962          27.6460
self_halo_exchange    :          0.8745           7.8080
mpi_halo_exchange     :          0.0005           0.0041
kernel_total          :         10.0245          89.5090
the rest              :          1.1749          10.4910
