Test problem 2 is within    5.0975444e+01 % of the expected solution
This test is considered NOT PASSED
Wall clock 3.418912
First step overhead 0.309600
Profiler Output                 Time            Percentage
Timestep              :          0.1528           4.4706
ideal_gas             :          0.1872           5.4762
viscosity             :          0.1282           3.7493
PdV                   :          0.2948           8.6239
revert                :          0.0667           1.9502
acceleration          :          0.1018           2.9763
flux                  :          0.1366           3.9957
cell_advection        :          0.0021           0.0609
mom_advection         :          1.0581          30.9499
reset                 :          0.1499           4.3832
summary               :          0.0057           0.1656
visit                 :          0.0000           0.0000
tile_halo_exchange    :          0.0002           0.0045
self_halo_exchange    :          0.4249          12.4291
mpi_halo_exchange     :          0.0003           0.0086
kernel_total          :          2.7093          79.2438
the rest              :          0.7096          20.7562
