Test problem 2 is within    5.0975444e+01 % of the expected solution
This test is considered NOT PASSED
Wall clock 63.347602
First step overhead 5.296573
Profiler Output                 Time            Percentage
Timestep              :          1.7341           2.7374
ideal_gas             :          2.5871           4.0839
viscosity             :          2.7555           4.3498
PdV                   :          2.5384           4.0072
revert                :          0.5801           0.9158
acceleration          :          1.9329           3.0512
flux                  :          1.9597           3.0935
cell_advection        :          0.0183           0.0290
mom_advection         :         12.3040          19.4229
reset                 :          2.9397           4.6407
summary               :          0.1221           0.1928
visit                 :          0.0000           0.0000
tile_halo_exchange    :         22.7787          35.9583
self_halo_exchange    :          2.3530           3.7145
mpi_halo_exchange     :          0.0007           0.0011
kernel_total          :         54.6044          86.1980
the rest              :          8.7432          13.8020
