Test problem 2 is within    5.0975444e+01 % of the expected solution
This test is considered NOT PASSED
Wall clock 11.732543
First step overhead 0.031840
Profiler Output                 Time            Percentage
Timestep              :          0.6984           5.9523
ideal_gas             :          0.4511           3.8450
viscosity             :          0.4571           3.8958
PdV                   :          0.7906           6.7388
revert                :          0.3430           2.9234
acceleration          :          0.7556           6.4406
flux                  :          0.8796           7.4969
cell_advection        :          0.0034           0.0286
mom_advection         :          1.7279          14.7275
reset                 :          0.2899           2.4711
summary               :          0.0162           0.1384
visit                 :          0.0000           0.0000
tile_halo_exchange    :          3.2278          27.5118
self_halo_exchange    :          0.5455           4.6498
mpi_halo_exchange     :          0.0005           0.0040
kernel_total          :         10.1867          86.8241
the rest              :          1.5459          13.1759
