Test problem 2 is within    5.0975444e+01 % of the expected solution
This test is considered NOT PASSED
Wall clock 2.564656
First step overhead 0.235454
Profiler Output                 Time            Percentage
Timestep              :          0.1689           6.5838
ideal_gas             :          0.1690           6.5897
viscosity             :          0.1077           4.1999
PdV                   :          0.2250           8.7740
revert                :          0.0374           1.4564
acceleration          :          0.0854           3.3294
flux                  :          0.0952           3.7110
cell_advection        :          0.0018           0.0702
mom_advection         :          0.4647          18.1185
reset                 :          0.1439           5.6093
summary               :          0.0062           0.2422
visit                 :          0.0000           0.0000
tile_halo_exchange    :          0.2563           9.9934
self_halo_exchange    :          0.2690          10.4869
mpi_halo_exchange     :          0.0002           0.0091
kernel_total          :          2.0305          79.1737
the rest              :          0.5341          20.8263
