Test problem 2 is within    5.0975444e+01 % of the expected solution
This test is considered NOT PASSED
Wall clock 17.672876
First step overhead 0.044657
Profiler Output                 Time            Percentage
Timestep              :          0.7187           4.0670
ideal_gas             :          0.6484           3.6689
viscosity             :          0.5176           2.9285
PdV                   :          0.7781           4.4030
revert                :          0.3992           2.2586
acceleration          :          0.8301           4.6970
flux                  :          0.5581           3.1579
cell_advection        :          0.0047           0.0268
mom_advection         :          3.5198          19.9163
reset                 :          0.9109           5.1540
summary               :          0.0318           0.1799
visit                 :          0.0000           0.0000
tile_halo_exchange    :          5.4061          30.5896
self_halo_exchange    :          1.2659           7.1630
mpi_halo_exchange     :          0.0003           0.0019
kernel_total          :         15.5897          88.2124
the rest              :          2.0832          11.7876
