Test problem 2 is within    5.0975444e+01 % of the expected solution
This test is considered NOT PASSED
Wall clock 4.470535
First step overhead 0.258701
Profiler Output                 Time            Percentage
Timestep              :          0.2873           6.4269
ideal_gas             :          0.3301           7.3840
viscosity             :          0.2296           5.1356
PdV                   :          0.2817           6.3011
revert                :          0.0208           0.4642
acceleration          :          0.0971           2.1729
flux                  :          0.1051           2.3513
cell_advection        :          0.0025           0.0566
mom_advection         :          1.1570          25.8795
reset                 :          0.3294           7.3689
summary               :          0.0069           0.1553
visit                 :          0.0000           0.0000
tile_halo_exchange    :          0.6561          14.6753
self_halo_exchange    :          0.2998           6.7064
mpi_halo_exchange     :          0.0003           0.0058
kernel_total          :          3.8037          85.0839
the rest              :          0.6668          14.9161
